category,pattern,name,complexity,url
medium,Shortest Path,Network Delay time,TC: O((V+E) log V) | SC: O(V),https://leetcode.com/problems/network-delay-time/
medium,Shortest Path,Number of ways to arrive at destination,TC: O((V+E) log V) | SC: O(V),https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/
medium,Shortest Path,Minimum Multiplications to reach End,TC: O(V log V) | SC: O(V),https://www.geeksforgeeks.org/problems/minimum-multiplications-to-reach-end/1
medium,Shortest Path,Bellman Ford Algorithm,TC: O(V×E) | SC: O(V),https://www.geeksforgeeks.org/problems/distance-from-the-source-bellman-ford-algorithm/1
medium,Shortest Path,Floyd Warshal Algorithm,TC: O(V³) | SC: O(V²),https://www.geeksforgeeks.org/problems/implementing-floyd-warshall2042/1
medium,Shortest Path,Find the city with the smallest number of neighbors in a threshold distance,TC: O(V³) | SC: O(V²),https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/
medium,Shortest Path,Swim in rising water,TC: O((m×n) log(m×n)) | SC: O(m×n),https://leetcode.com/problems/swim-in-rising-water/
new,MST,Minimum Spanning Tree,TC: O((V+E) log V) | SC: O(V),https://www.geeksforgeeks.org/problems/minimum-spanning-tree/1
medium,MST,Prim's Algorithm,TC: O((V+E) log V) | SC: O(V),https://www.geeksforgeeks.org/problems/minimum-spanning-tree/1
medium,MST,Kruskal's Algorithm,TC: O(E log E) | SC: O(V+E),https://www.geeksforgeeks.org/problems/minimum-spanning-tree-kruskals-algorithm/1
medium,Disjoint Set,Disjoint Set [Union by Rank| Union by Size],TC: O(n) | SC: O(1),https://www.geeksforgeeks.org/problems/disjoint-set-union-find/1
medium,Disjoint Set,Number of provinces(disjoint set),TC: O(V×α(V)) | SC: O(V),https://leetcode.com/problems/number-of-provinces/description/
medium,Disjoint Set,Number of operations to make network connected,TC: O(E×α(V)) | SC: O(V),https://leetcode.com/problems/number-of-operations-to-make-network-connected/
medium,Disjoint Set,Most stones removed with same rows or columns,TC: O(n×α(n)) | SC: O(n),https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/
medium,Disjoint Set,Accounts merge,TC: O(n log n) | SC: O(n),https://leetcode.com/problems/accounts-merge/
medium,Disjoint Set,Number of island II,TC: O(n×α(n)) | SC: O(n),https://www.geeksforgeeks.org/problems/number-of-islands/1
medium,SCC,Kosaraju's Algorithm,TC: O(V+E) | SC: O(V),https://www.geeksforgeeks.org/problems/strongly-connected-components-kosarajus-algo/1
new,Graph Properties,Bridges in Graph,TC: O(V+E) | SC: O(V),https://leetcode.com/problems/critical-connections-in-a-network/discuss/382385/find-bridges-in-a-graph
hard,Graph Properties,Articulation Point,TC: O(V+E) | SC: O(V),https://www.geeksforgeeks.org/problems/articulation-point2616/1
